id_estacion,departamento,provincia,fecha_hora,temperatura_c,humedad_rel_porc,vel_viento_kmh,presion_hpa,precipitacion_mm,condicion_clima
EST-0001,Amazonas,Chachapoyas,2026-09-01 00:00:00,15.6,82.8,0.0,1009.9,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 01:00:00,14.5,87.3,0.0,1009.8,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-09-01 02:00:00,13.2,85.3,0.0,1006.4,3.26,Llovizna
EST-0001,Amazonas,Chachapoyas,2026-09-01 03:00:00,15.3,92.4,0.0,1004.3,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-09-01 04:00:00,14.3,86.6,1.4,1004.5,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-09-01 05:00:00,15.9,86.7,3.5,1008.2,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-09-01 06:00:00,18.3,84.4,0.0,1005.4,3.26,Llovizna
EST-0001,Amazonas,Chachapoyas,2026-09-01 07:00:00,20.4,76.0,2.2,1003.1,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 08:00:00,22.1,77.4,5.2,998.3,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 09:00:00,24.0,69.5,9.3,1001.4,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 10:00:00,25.5,66.2,9.9,1001.5,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 11:00:00,27.6,63.4,12.1,998.7,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 12:00:00,29.3,64.6,16.8,994.8,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 13:00:00,29.8,59.5,13.7,997.9,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 14:00:00,30.5,60.5,17.9,999.3,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 15:00:00,29.8,61.7,11.2,999.9,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 16:00:00,28.7,63.2,15.8,1002.4,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 17:00:00,27.7,62.2,8.7,1002.7,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 18:00:00,26.2,72.0,7.3,1001.4,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 19:00:00,24.4,73.9,8.1,1000.6,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 20:00:00,22.4,78.6,4.0,1004.4,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 21:00:00,19.9,79.4,1.7,1001.1,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 22:00:00,18.1,74.7,1.5,1003.1,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-01 23:00:00,16.9,80.8,0.0,1008.5,0.0,Despejado
EST-0001,Amazonas,Chachapoyas,2026-09-02 00:00:00,15.2,86.2,0.0,1005.0,0.0,Nublado
